"module name","version","licenses","repository"
"readable-stream@2.3.3","2.3.3","MIT","https://github.com/nodejs/readable-stream"
"readdir-scoped-modules@1.0.2","1.0.2","ISC","https://github.com/npm/readdir-scoped-modules"
"regexpp@1.0.1","1.0.1","MIT","https://github.com/mysticatea/regexpp"
"require-uncached@1.0.3","1.0.3","MIT","https://github.com/sindresorhus/require-uncached"
"resolve-from@1.0.1","1.0.1","MIT","https://github.com/sindresorhus/resolve-from"
"resolve@1.5.0","1.5.0","MIT","https://github.com/browserify/node-resolve"
"resolve@1.7.1","1.7.1","MIT","https://github.com/browserify/resolve"
"restore-cursor@2.0.0","2.0.0","MIT","https://github.com/sindresorhus/restore-cursor"
"rimraf@2.6.2","2.6.2","ISC","https://github.com/isaacs/rimraf"
"run-async@2.3.0","2.3.0","MIT","https://github.com/SBoudrias/run-async"
"rx-lite-aggregates@4.0.8","4.0.8","Apache License, Version 2.0","https://github.com/Reactive-Extensions/RxJS"
"rx-lite@4.0.8","4.0.8","Apache License, Version 2.0","https://github.com/Reactive-Extensions/RxJS"
"safe-buffer@5.1.1","5.1.1","MIT","https://github.com/feross/safe-buffer"
"semver@5.4.1","5.4.1","ISC","https://github.com/npm/node-semver"
"semver@5.5.0","5.5.0","ISC","https://github.com/npm/node-semver"
"semver@5.5.1","5.5.1","ISC","https://github.com/npm/node-semver"
"setimmediate@1.0.5","1.0.5","MIT","https://github.com/YuzuJS/setImmediate"
"shebang-command@1.2.0","1.2.0","MIT","https://github.com/kevva/shebang-command"
"shebang-regex@1.0.0","1.0.0","MIT","https://github.com/sindresorhus/shebang-regex"
"signal-exit@3.0.2","3.0.2","ISC","https://github.com/tapjs/signal-exit"
"slash@1.0.0","1.0.0","MIT","https://github.com/sindresorhus/slash"
"slice-ansi@1.0.0","1.0.0","MIT","https://github.com/chalk/slice-ansi"
"slide@1.1.6","1.1.6","ISC","https://github.com/isaacs/slide-flow-control"
"source-map@0.5.7","0.5.7","BSD-3-Clause","https://github.com/mozilla/source-map"
"spdx-compare@1.0.0","1.0.0","MIT","https://github.com/kemitchell/spdx-compare.js"
"spdx-correct@1.0.2","1.0.2","Apache-2.0","https://github.com/kemitchell/spdx-correct.js"
"spdx-correct@3.0.0","3.0.0","Apache-2.0","https://github.com/jslicense/spdx-correct.js"
"spdx-exceptions@1.0.5","1.0.5","CC-BY-3.0","https://github.com/kemitchell/spdx-exceptions.json"
"spdx-exceptions@2.1.0","2.1.0","CC-BY-3.0","https://github.com/kemitchell/spdx-exceptions.json"
"spdx-expression-parse@1.0.4","1.0.4","(MIT AND CC-BY-3.0)","https://github.com/kemitchell/spdx-expression-parse.js"
"spdx-expression-parse@3.0.0","3.0.0","MIT","https://github.com/jslicense/spdx-expression-parse.js"
"spdx-license-ids@1.2.2","1.2.2","Unlicense","https://github.com/shinnn/spdx-license-ids"
"spdx-license-ids@3.0.1","3.0.1","CC0-1.0","https://github.com/shinnn/spdx-license-ids"
"spdx-ranges@2.0.0","2.0.0","CC-BY-3.0","https://github.com/kemitchell/spdx-ranges.js"
"spdx-satisfies@4.0.0","4.0.0","MIT","https://github.com/kemitchell/spdx-satisfies.js"
"spdx@0.5.2","0.5.2","MIT","https://github.com/kemitchell/spdx.js"
"sprintf-js@1.0.3","1.0.3","BSD-3-Clause","https://github.com/alexei/sprintf.js"
"string-width@2.1.1","2.1.1","MIT","https://github.com/sindresorhus/string-width"
"string_decoder@1.0.3","1.0.3","MIT","https://github.com/rvagg/string_decoder"
"strip-ansi@3.0.1","3.0.1","MIT","https://github.com/chalk/strip-ansi"
"strip-ansi@4.0.0","4.0.0","MIT","https://github.com/chalk/strip-ansi"
"strip-bom@3.0.0","3.0.0","MIT","https://github.com/sindresorhus/strip-bom"
"strip-eof@1.0.0","1.0.0","MIT","https://github.com/sindresorhus/strip-eof"
"strip-json-comments@2.0.1","2.0.1","MIT","https://github.com/sindresorhus/strip-json-comments"
"supports-color@2.0.0","2.0.0","MIT","https://github.com/chalk/supports-color"
